chunk_id,rule_id,domain,source_file,error_code,historical_context,severity,difficulty,text
1,cse-tr-397-99:DOMINANT_FUNCTION:1,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,DOMINANT_FUNCTION,Common Practice Period and tonal theory,Stylistic,intermediate,"1 INTRODUCTION Harmonic analysis provides a theoretical framework for examining a musical composition and summarizing its tonal organization. This analysis is based upon the rules of tonal harmony, whose a pplication results in a grammatical parsing (Roman numeral notation) of a composition; this Roman numeral analysis gives the functions of chords relative to the key area, or tonal center, in which the chords reside. Designed to analyze Western tonal music (seventeenth to nineteenth century), it provides insight into the musical language spoken by the great composers of this era."
2,cse-tr-397-99:CADENCE_GRAVITY:2,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"This cannot be accomplis hed by a simple application of a rule, as the rules for tonal harmony are not specifically stated, but are conventions drawn from centuries of musical experience. There is no music -theoretic requirement, for example, that a tonal composition must employ th e tonic -dominant relationship, yet it is ubiquitous and recognized by musically trained and untrained listeners alike. Likewise, the algorithms presented here use cadences as a basis for identifying tonal centers."
3,cse-tr-397-99:CADENCE_GRAVITY:3,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"There is no music -theoretic requirement, for example, that a tonal composition must employ th e tonic -dominant relationship, yet it is ubiquitous and recognized by musically trained and untrained listeners alike. Likewise, the algorithms presented here use cadences as a basis for identifying tonal centers. Using the constraint that modulations (cha nges in the tonal center) are suggested by cadences, our algorithm searches a piece for all cadential structures, determines which are locally the best, and then decides whether or not to modulate."
4,cse-tr-397-99:CADENCE_GRAVITY:4,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"Likewise, the algorithms presented here use cadences as a basis for identifying tonal centers. Using the constraint that modulations (cha nges in the tonal center) are suggested by cadences, our algorithm searches a piece for all cadential structures, determines which are locally the best, and then decides whether or not to modulate. After finding the tonal centers, it labels the chords in t he piece with the proper Roman numeral notation."
5,cse-tr-397-99:CADENCE_GRAVITY:5,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"Using the constraint that modulations (cha nges in the tonal center) are suggested by cadences, our algorithm searches a piece for all cadential structures, determines which are locally the best, and then decides whether or not to modulate. After finding the tonal centers, it labels the chords in t he piece with the proper Roman numeral notation. The lack of a formal system in tonal harmonic analysis poses a problem for a computational approach."
6,cse-tr-397-99:DOMINANT_FUNCTION:6,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,DOMINANT_FUNCTION,Common Practice Period and tonal theory,Stylistic,intermediate,"2.1.4 Musical example Suppose a sequence of three chords is analyzed. Our CSP representation has each chord a variable, whose attributes are the key and quality of the tonal area , and function , which is the harmonic function (Roman numeral notation). The constraints listed in Table 1 apply."
7,cse-tr-397-99:CADENCE_GRAVITY:7,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,CADENCE_GRAVITY,Common Practice Period and tonal theory,Stylistic,intermediate,"(Note that pitches are assigned numbers; half steps are o ne increment apart.). The solution to the example in Figure 3 is the tuples <0,Maj, I>, <0,Maj, V>, <0,Maj, I>, which is a perfect authentic cadence. 2.2 CSP Musical Representation In this section, we show the mapping from harmonic ana lysis (at least, the part of which we are concerned) to a CSP."
8,cse-tr-397-99:DOMINANT_FUNCTION:8,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,DOMINANT_FUNCTION,Common Practice Period and tonal theory,Stylistic,intermediate,"Including minor keys means having to include special cases for the different types of minor scales (melodic and harm onic). If the process can be done for major, then minor can be done in the same manner; the tables for what tones are diatonic to a given key would simply be different. • Modulations follow the circle of fifths."
9,cse-tr-397-99:DOMINANT_FUNCTION:9,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,DOMINANT_FUNCTION,Common Practice Period and tonal theory,Stylistic,intermediate,"• Modulations follow the circle of fifths. For example, if the current key were D Major, it can either modulate to the dominant, A Major, or to the subdominant ( IV), G Major. In tonal music, the circle of fifths is not a rule, but rather a strong preference, as the tonic -dominant relationship is considered one of the strongest in tonal music (Lerdahl 1988) ."
10,cse-tr-397-99:DOMINANT_FUNCTION:10,auditor,knowledge_base/Methodology/CSE-TR-397-99.txt,DOMINANT_FUNCTION,Common Practice Period and tonal theory,Stylistic,intermediate,"For example, if the current key were D Major, it can either modulate to the dominant, A Major, or to the subdominant ( IV), G Major. In tonal music, the circle of fifths is not a rule, but rather a strong preference, as the tonic -dominant relationship is considered one of the strongest in tonal music (Lerdahl 1988) . --- Page 7 --- 7 • Suspensions (a dissonance that resolves to consonance) are resolved in the input."
